,feed_pub_date,item_title,item_description,item_link
35,20/01/2021 13:56,Na Verenigd Koninkrijk keurt tweede land Pfizer/BioNTech vaccin goed - Het Nieuwsblad,Na Verenigd Koninkrijk keurt tweede land Pfizer/BioNTech vaccin goed&nbsp;&nbsp;Het Nieuwsblad,https://www.nieuwsblad.be/cnt/dmf20201205_92069993
36,20/01/2021 13:56,EU sluit deal met Pfizer en BioNTech voor 300 miljoen vaccins - Business AM - NL,EU sluit deal met Pfizer en BioNTech voor 300 miljoen vaccins&nbsp;&nbsp;Business AM - NL,https://businessam.be/eu-sluit-deal-met-pfizer-en-biontech-voor-300-miljoen-vaccins/
37,20/01/2021 13:56,Amerikaanse overheid koopt Pfizer-vaccin - De Tijd,Amerikaanse overheid koopt Pfizer-vaccin&nbsp;&nbsp;De Tijd,https://www.tijd.be/ondernemen/farma-biotech/amerikaanse-overheid-koopt-pfizer-vaccin/10240273.html
38,20/01/2021 13:56,Pfizer en BioNTech willen dit jaar al 50 miljoen coronavaccins verdelen - Business AM - NL,Pfizer en BioNTech willen dit jaar al 50 miljoen coronavaccins verdelen&nbsp;&nbsp;Business AM - NL,https://businessam.be/pfizer-en-biontech-willen-dit-jaar-al-50-miljoen-coronavaccins-verdelen/
39,20/01/2021 13:56,Zwitserland keurt vaccin Pfizer/BioNTech goed - NRC,Zwitserland keurt vaccin Pfizer/BioNTech goed&nbsp;&nbsp;NRC,https://www.nrc.nl/nieuws/2020/12/19/zwitserland-keurt-vaccin-pfizer-biontech-goed-a4024537
40,20/01/2021 13:56,"Braziliaanse president weigert vaccin Pfizer en BioNTech: “Als je in een kaaiman verandert, is het volgens hen jouw probleem” - Het Laatste Nieuws","Braziliaanse president weigert vaccin Pfizer en BioNTech: “Als je in een kaaiman verandert, is het volgens hen jouw probleem”&nbsp;&nbsp;Het Laatste Nieuws",https://www.hln.be/buitenland/braziliaanse-president-weigert-vaccin-pfizer-en-biontech-als-je-in-een-kaaiman-verandert-is-het-volgens-hen-jouw-probleem~a13c59c2/
41,20/01/2021 13:56,Coronavaccin van Pfizer en BioNTech stuwt Europese beurzen - Business AM - NL,Coronavaccin van Pfizer en BioNTech stuwt Europese beurzen&nbsp;&nbsp;Business AM - NL,https://businessam.be/coronavaccin-van-pfizer-en-biontech-stuwt-europese-beurzen/
42,20/01/2021 13:56,Hoge prijzen voor coronavaccins bij BioNTech/Pfizer en Moderna bevestigen nood aan meer transparantie - Test-Aankoop.be,Hoge prijzen voor coronavaccins bij BioNTech/Pfizer en Moderna bevestigen nood aan meer transparantie&nbsp;&nbsp;Test-Aankoop.be,https://www.test-aankoop.be/gezond/ziekten-en-geneesmiddelen/geneesmiddelen/nieuws/prijzen-coronavaccins
43,20/01/2021 13:56,"Covid-19-vaccin van Pfizer en BioNTech toont positieve resultaten, maar ook meteen vervelende bijwerking - Business AM - NL","Covid-19-vaccin van Pfizer en BioNTech toont positieve resultaten, maar ook meteen vervelende bijwerking&nbsp;&nbsp;Business AM - NL",https://businessam.be/covid-19-vaccin-van-pfizer-en-biontech-toont-positieve-resultaten-maar-ook-meteen-vervelende-bijwerking/
44,20/01/2021 13:56,Pfizer en BioNTech werken aan nieuwe versie van hun vaccin dat niet bij temperaturen van -70 graden bewaard moet worden - Het Laatste Nieuws,Pfizer en BioNTech werken aan nieuwe versie van hun vaccin dat niet bij temperaturen van -70 graden bewaard moet worden&nbsp;&nbsp;Het Laatste Nieuws,https://www.hln.be/nieuws/pfizer-en-biontech-werken-aan-nieuwe-versie-van-hun-vaccin-dat-niet-bij-temperaturen-van-70-graden-bewaard-moet-worden~a0cc7e4b/
45,20/01/2021 13:56,Pfizer en BioNTech sussen vrees voor productietekorten - 100-tal jongeren troept samen in Namen - Het Laatste Nieuws,Pfizer en BioNTech sussen vrees voor productietekorten - 100-tal jongeren troept samen in Namen&nbsp;&nbsp;Het Laatste Nieuws,https://www.hln.be/nieuws/pfizer-en-biontech-sussen-vrees-voor-productietekorten-100-tal-jongeren-troept-samen-in-namen~a69c3beb/
46,20/01/2021 13:56,"Liveblog - Europa keurt contract goed met Pfizer/BioNTech, studie wijst cafés, restaurants en fitness aan als superspreader-locaties - VRT NWS","Liveblog - Europa keurt contract goed met Pfizer/BioNTech, studie wijst cafés, restaurants en fitness aan als superspreader-locaties&nbsp;&nbsp;VRT NWS",https://www.vrt.be/vrtnws/nl/2020/11/11/liveblog-11-november-2020/
